Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = dimer
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
step 0: train loss 4.3265, val loss 4.3090
iter 83: loss 2.7032, time 491.08ms, mfu 0.03%
iter 84: loss 2.7770, time 474.11ms, mfu 0.03%
iter 85: loss 2.6398, time 467.50ms, mfu 0.03%
iter 86: loss 2.6507, time 560.87ms, mfu 0.03%
iter 87: loss 2.5913, time 594.77ms, mfu 0.03%
iter 88: loss 2.6196, time 575.58ms, mfu 0.03%
iter 89: loss 2.8242, time 691.45ms, mfu 0.03%
iter 90: loss 2.6586, time 472.60ms, mfu 0.03%
iter 91: loss 2.7853, time 557.12ms, mfu 0.03%
iter 92: loss 2.8170, time 505.85ms, mfu 0.03%
iter 93: loss 2.7068, time 500.48ms, mfu 0.03%
iter 94: loss 2.7454, time 514.27ms, mfu 0.03%
iter 95: loss 2.7038, time 571.68ms, mfu 0.03%
iter 96: loss 2.6294, time 535.37ms, mfu 0.03%
iter 97: loss 2.6502, time 526.72ms, mfu 0.03%
iter 98: loss 2.6602, time 523.63ms, mfu 0.03%
iter 99: loss 2.7085, time 684.50ms, mfu 0.03%
iter 100: loss 2.6726, time 494.01ms, mfu 0.03%
iter 101: loss 2.7158, time 497.99ms, mfu 0.03%
iter 102: loss 2.6688, time 461.15ms, mfu 0.03%
iter 103: loss 2.6832, time 541.21ms, mfu 0.03%
iter 104: loss 2.6171, time 527.60ms, mfu 0.03%
iter 105: loss 2.6507, time 508.88ms, mfu 0.03%
iter 106: loss 2.6101, time 510.74ms, mfu 0.03%
iter 107: loss 2.6255, time 499.17ms, mfu 0.03%
iter 108: loss 2.6377, time 543.10ms, mfu 0.03%
iter 109: loss 2.6367, time 697.73ms, mfu 0.03%
iter 110: loss 2.7703, time 535.47ms, mfu 0.03%
iter 111: loss 2.7129, time 516.17ms, mfu 0.03%
iter 112: loss 2.7351, time 497.36ms, mfu 0.03%
iter 113: loss 2.7181, time 518.61ms, mfu 0.03%
iter 114: loss 2.6427, time 455.91ms, mfu 0.03%
iter 115: loss 2.6381, time 523.99ms, mfu 0.03%
iter 116: loss 2.7326, time 524.52ms, mfu 0.03%
iter 117: loss 2.7451, time 540.78ms, mfu 0.03%
iter 118: loss 2.6553, time 531.40ms, mfu 0.03%
iter 119: loss 2.6933, time 642.25ms, mfu 0.03%
iter 120: loss 2.6812, time 493.77ms, mfu 0.03%
iter 121: loss 2.6479, time 502.04ms, mfu 0.03%
iter 122: loss 2.6286, time 557.62ms, mfu 0.03%
iter 123: loss 2.5583, time 588.56ms, mfu 0.03%
iter 124: loss 2.5975, time 467.22ms, mfu 0.03%
iter 125: loss 2.6800, time 515.57ms, mfu 0.03%
iter 126: loss 2.7008, time 501.20ms, mfu 0.03%
iter 127: loss 2.7440, time 522.57ms, mfu 0.03%
iter 128: loss 2.6702, time 458.67ms, mfu 0.03%
iter 129: loss 2.6527, time 840.40ms, mfu 0.03%
iter 130: loss 2.5913, time 581.99ms, mfu 0.03%
iter 131: loss 2.6298, time 497.25ms, mfu 0.03%
iter 132: loss 2.6017, time 526.85ms, mfu 0.03%
iter 133: loss 2.6498, time 518.37ms, mfu 0.03%
iter 134: loss 2.5873, time 496.68ms, mfu 0.03%
iter 135: loss 2.6678, time 496.53ms, mfu 0.03%
