Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = sophia
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 81: loss 2.6376, time 466.21ms, mfu 0.04%
iter 82: loss 2.6869, time 360.34ms, mfu 0.04%
iter 83: loss 2.6760, time 417.37ms, mfu 0.04%
iter 84: loss 2.5762, time 391.81ms, mfu 0.04%
iter 85: loss 2.7174, time 406.15ms, mfu 0.04%
iter 86: loss 2.6511, time 407.63ms, mfu 0.04%
iter 87: loss 2.6247, time 391.78ms, mfu 0.04%
iter 88: loss 2.6932, time 402.63ms, mfu 0.04%
iter 89: loss 2.7348, time 402.99ms, mfu 0.04%
iter 90: loss 2.7218, time 370.80ms, mfu 0.04%
iter 91: loss 2.6566, time 404.34ms, mfu 0.04%
iter 92: loss 2.6138, time 394.92ms, mfu 0.04%
iter 93: loss 2.7413, time 409.04ms, mfu 0.04%
iter 94: loss 2.6357, time 387.87ms, mfu 0.04%
iter 95: loss 2.7291, time 421.71ms, mfu 0.04%
iter 96: loss 2.6879, time 427.95ms, mfu 0.04%
iter 97: loss 2.6971, time 426.71ms, mfu 0.04%
iter 98: loss 2.7068, time 366.09ms, mfu 0.04%
iter 99: loss 2.6394, time 421.78ms, mfu 0.04%
iter 100: loss 2.6495, time 434.61ms, mfu 0.04%
iter 101: loss 2.6029, time 420.85ms, mfu 0.04%
iter 102: loss 2.6078, time 421.80ms, mfu 0.04%
iter 103: loss 2.8265, time 384.57ms, mfu 0.04%
iter 104: loss 2.6870, time 425.79ms, mfu 0.04%
iter 105: loss 2.6662, time 388.05ms, mfu 0.04%
iter 106: loss 2.5670, time 386.02ms, mfu 0.04%
iter 107: loss 2.6240, time 430.96ms, mfu 0.04%
iter 108: loss 2.6394, time 407.35ms, mfu 0.04%
iter 109: loss 2.7563, time 406.96ms, mfu 0.04%
iter 110: loss 2.6316, time 386.57ms, mfu 0.04%
iter 111: loss 2.6012, time 431.29ms, mfu 0.04%
iter 112: loss 2.6405, time 386.54ms, mfu 0.04%
iter 113: loss 2.5955, time 417.20ms, mfu 0.04%
iter 114: loss 2.6953, time 343.50ms, mfu 0.04%
iter 115: loss 2.6052, time 438.30ms, mfu 0.04%
iter 116: loss 2.6579, time 421.99ms, mfu 0.04%
iter 117: loss 2.6711, time 379.43ms, mfu 0.04%
iter 118: loss 2.6260, time 427.97ms, mfu 0.04%
iter 119: loss 2.6282, time 392.25ms, mfu 0.04%
iter 120: loss 2.5812, time 408.35ms, mfu 0.04%
iter 121: loss 2.5906, time 366.99ms, mfu 0.04%
iter 122: loss 2.5848, time 470.55ms, mfu 0.04%
iter 123: loss 2.6488, time 428.35ms, mfu 0.04%
iter 124: loss 2.6258, time 404.76ms, mfu 0.04%
iter 125: loss 2.6228, time 379.96ms, mfu 0.04%
iter 126: loss 2.4985, time 388.31ms, mfu 0.04%
iter 127: loss 2.5725, time 374.66ms, mfu 0.04%
iter 128: loss 2.6568, time 391.13ms, mfu 0.04%
iter 129: loss 2.5904, time 408.88ms, mfu 0.04%
iter 130: loss 2.5831, time 437.58ms, mfu 0.04%
iter 131: loss 2.6547, time 423.42ms, mfu 0.04%
iter 132: loss 2.5664, time 407.96ms, mfu 0.04%
iter 133: loss 2.5450, time 368.56ms, mfu 0.04%
iter 134: loss 2.5643, time 447.06ms, mfu 0.04%
iter 135: loss 2.5159, time 401.31ms, mfu 0.04%
iter 136: loss 2.5613, time 397.48ms, mfu 0.04%
iter 137: loss 2.5973, time 346.35ms, mfu 0.04%
iter 138: loss 2.5275, time 455.66ms, mfu 0.04%
iter 139: loss 2.5917, time 399.53ms, mfu 0.04%
iter 140: loss 2.4945, time 378.77ms, mfu 0.04%
iter 141: loss 2.5863, time 394.40ms, mfu 0.04%
iter 142: loss 2.6353, time 372.83ms, mfu 0.04%
iter 143: loss 2.6360, time 373.82ms, mfu 0.04%
iter 144: loss 2.5502, time 405.03ms, mfu 0.04%
iter 145: loss 2.5501, time 405.61ms, mfu 0.04%
iter 146: loss 2.6099, time 382.24ms, mfu 0.04%
iter 147: loss 2.5991, time 415.10ms, mfu 0.04%
iter 148: loss 2.5235, time 390.50ms, mfu 0.04%
iter 149: loss 2.5086, time 396.31ms, mfu 0.04%
iter 150: loss 2.4565, time 395.55ms, mfu 0.04%
iter 151: loss 2.4340, time 372.81ms, mfu 0.04%
iter 152: loss 2.5638, time 424.19ms, mfu 0.04%
iter 153: loss 2.4708, time 397.57ms, mfu 0.04%
