Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = adam
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
iter 81: loss 2.7805, time 313.77ms, mfu 0.05%
iter 82: loss 2.7990, time 360.57ms, mfu 0.05%
iter 83: loss 2.8018, time 356.01ms, mfu 0.05%
iter 84: loss 2.6724, time 371.83ms, mfu 0.05%
iter 85: loss 2.8101, time 345.79ms, mfu 0.05%
iter 86: loss 2.7317, time 295.24ms, mfu 0.05%
iter 87: loss 2.7421, time 355.20ms, mfu 0.05%
iter 88: loss 2.7561, time 333.21ms, mfu 0.05%
iter 89: loss 2.8164, time 340.68ms, mfu 0.05%
iter 90: loss 2.8420, time 317.67ms, mfu 0.05%
iter 91: loss 2.8177, time 355.45ms, mfu 0.05%
iter 92: loss 2.7834, time 351.05ms, mfu 0.05%
iter 93: loss 2.8582, time 312.12ms, mfu 0.05%
iter 94: loss 2.8557, time 314.57ms, mfu 0.05%
iter 95: loss 2.8290, time 307.30ms, mfu 0.05%
iter 96: loss 2.8122, time 346.31ms, mfu 0.05%
iter 97: loss 2.7764, time 349.88ms, mfu 0.05%
iter 98: loss 2.8708, time 351.84ms, mfu 0.05%
iter 99: loss 2.8310, time 333.13ms, mfu 0.05%
iter 100: loss 2.8057, time 344.68ms, mfu 0.05%
iter 101: loss 2.7841, time 343.93ms, mfu 0.05%
iter 102: loss 2.7883, time 399.09ms, mfu 0.05%
iter 103: loss 2.9840, time 341.89ms, mfu 0.05%
iter 104: loss 2.8848, time 368.68ms, mfu 0.05%
iter 105: loss 2.9133, time 401.66ms, mfu 0.05%
iter 106: loss 2.7451, time 379.88ms, mfu 0.05%
iter 107: loss 2.8407, time 280.70ms, mfu 0.05%
iter 108: loss 2.8239, time 375.31ms, mfu 0.05%
iter 109: loss 2.9150, time 300.79ms, mfu 0.05%
iter 110: loss 2.8096, time 384.04ms, mfu 0.05%
iter 111: loss 2.7843, time 372.15ms, mfu 0.05%
iter 112: loss 2.8130, time 301.79ms, mfu 0.05%
iter 113: loss 2.7528, time 344.14ms, mfu 0.05%
iter 114: loss 2.7885, time 313.27ms, mfu 0.05%
iter 115: loss 2.7573, time 349.49ms, mfu 0.05%
iter 116: loss 2.8003, time 332.42ms, mfu 0.05%
iter 117: loss 2.8612, time 362.03ms, mfu 0.05%
iter 118: loss 2.7486, time 352.70ms, mfu 0.05%
iter 119: loss 2.8476, time 331.52ms, mfu 0.05%
iter 120: loss 2.7476, time 296.44ms, mfu 0.05%
iter 121: loss 2.7874, time 387.92ms, mfu 0.05%
iter 122: loss 2.7769, time 350.80ms, mfu 0.05%
iter 123: loss 2.7699, time 416.94ms, mfu 0.05%
iter 124: loss 2.8006, time 455.03ms, mfu 0.05%
iter 125: loss 2.7736, time 331.81ms, mfu 0.05%
iter 126: loss 2.6862, time 347.62ms, mfu 0.05%
iter 127: loss 2.6900, time 364.58ms, mfu 0.05%
iter 128: loss 2.8061, time 409.98ms, mfu 0.04%
iter 129: loss 2.7608, time 375.11ms, mfu 0.04%
iter 130: loss 2.7441, time 334.51ms, mfu 0.05%
iter 131: loss 2.7761, time 334.90ms, mfu 0.05%
iter 132: loss 2.7809, time 368.01ms, mfu 0.05%
iter 133: loss 2.7721, time 351.42ms, mfu 0.05%
iter 134: loss 2.7351, time 336.68ms, mfu 0.05%
iter 135: loss 2.6696, time 328.48ms, mfu 0.05%
iter 136: loss 2.7124, time 342.42ms, mfu 0.05%
iter 137: loss 2.7534, time 336.21ms, mfu 0.05%
iter 138: loss 2.7096, time 335.70ms, mfu 0.05%
iter 139: loss 2.7779, time 348.99ms, mfu 0.05%
iter 140: loss 2.6578, time 348.14ms, mfu 0.05%
iter 141: loss 2.7169, time 327.72ms, mfu 0.05%
iter 142: loss 2.7875, time 378.51ms, mfu 0.05%
iter 143: loss 2.7965, time 386.68ms, mfu 0.05%
iter 144: loss 2.7565, time 342.91ms, mfu 0.05%
iter 145: loss 2.7312, time 313.97ms, mfu 0.05%
iter 146: loss 2.7602, time 338.46ms, mfu 0.05%
iter 147: loss 2.7833, time 375.19ms, mfu 0.05%
iter 148: loss 2.7855, time 288.11ms, mfu 0.05%
iter 149: loss 2.6877, time 313.96ms, mfu 0.05%
iter 150: loss 2.6766, time 294.50ms, mfu 0.05%
iter 151: loss 2.6711, time 349.63ms, mfu 0.05%
iter 152: loss 2.7790, time 370.16ms, mfu 0.05%
iter 153: loss 2.6800, time 361.85ms, mfu 0.05%
iter 154: loss 2.7217, time 369.36ms, mfu 0.05%
iter 155: loss 2.7540, time 341.26ms, mfu 0.05%
iter 156: loss 2.7870, time 373.41ms, mfu 0.05%
iter 157: loss 2.7568, time 351.72ms, mfu 0.05%
iter 158: loss 2.6524, time 341.79ms, mfu 0.05%
iter 159: loss 2.7568, time 375.74ms, mfu 0.05%
iter 160: loss 2.9130, time 354.04ms, mfu 0.05%
iter 161: loss 2.7481, time 346.40ms, mfu 0.05%
iter 162: loss 2.7497, time 331.65ms, mfu 0.05%
iter 163: loss 2.6974, time 379.30ms, mfu 0.05%
iter 164: loss 2.6902, time 309.95ms, mfu 0.05%
iter 165: loss 2.7372, time 325.91ms, mfu 0.05%
iter 166: loss 2.7304, time 290.36ms, mfu 0.05%
iter 167: loss 2.7345, time 296.05ms, mfu 0.05%
iter 168: loss 2.6330, time 362.14ms, mfu 0.05%
iter 169: loss 2.8054, time 296.94ms, mfu 0.05%
iter 170: loss 2.7358, time 339.49ms, mfu 0.05%
iter 171: loss 2.6794, time 316.24ms, mfu 0.05%
iter 172: loss 2.7274, time 328.51ms, mfu 0.05%
iter 173: loss 2.7940, time 370.63ms, mfu 0.05%
iter 174: loss 2.8049, time 334.09ms, mfu 0.05%
iter 175: loss 2.6553, time 348.02ms, mfu 0.05%
iter 176: loss 2.7225, time 336.15ms, mfu 0.05%
iter 177: loss 2.7431, time 347.58ms, mfu 0.05%
iter 178: loss 2.7152, time 380.89ms, mfu 0.05%
iter 179: loss 2.7163, time 334.66ms, mfu 0.05%
iter 180: loss 2.7716, time 358.48ms, mfu 0.05%
iter 181: loss 2.7797, time 339.55ms, mfu 0.05%
iter 182: loss 2.7353, time 350.54ms, mfu 0.05%
iter 183: loss 2.6789, time 387.49ms, mfu 0.05%
iter 184: loss 2.7207, time 349.68ms, mfu 0.05%
iter 185: loss 2.6665, time 319.08ms, mfu 0.05%
iter 186: loss 2.6808, time 391.71ms, mfu 0.05%
iter 187: loss 2.7857, time 321.65ms, mfu 0.05%
iter 188: loss 2.7248, time 370.91ms, mfu 0.05%
iter 189: loss 2.7293, time 373.27ms, mfu 0.05%
iter 190: loss 2.7304, time 332.84ms, mfu 0.05%
iter 191: loss 2.7908, time 298.17ms, mfu 0.05%
iter 192: loss 2.7864, time 389.22ms, mfu 0.05%
iter 193: loss 2.6665, time 363.26ms, mfu 0.05%
iter 194: loss 2.7905, time 385.32ms, mfu 0.05%
iter 195: loss 2.7595, time 332.31ms, mfu 0.05%
iter 196: loss 2.6626, time 349.38ms, mfu 0.05%
iter 197: loss 2.7636, time 324.43ms, mfu 0.05%
iter 198: loss 2.7759, time 341.54ms, mfu 0.05%
iter 199: loss 2.7690, time 342.62ms, mfu 0.05%
iter 200: loss 2.6890, time 315.46ms, mfu 0.05%
iter 201: loss 2.6525, time 388.05ms, mfu 0.05%
iter 202: loss 2.7538, time 369.91ms, mfu 0.05%
iter 203: loss 2.7649, time 338.55ms, mfu 0.05%
iter 204: loss 2.7064, time 383.24ms, mfu 0.05%
iter 205: loss 2.7348, time 357.11ms, mfu 0.05%
iter 206: loss 2.7207, time 349.57ms, mfu 0.05%
iter 207: loss 2.6844, time 332.56ms, mfu 0.05%
iter 208: loss 2.7674, time 335.52ms, mfu 0.05%
iter 209: loss 2.7160, time 352.82ms, mfu 0.05%
iter 210: loss 2.6921, time 328.31ms, mfu 0.05%
iter 211: loss 2.6431, time 354.55ms, mfu 0.05%
iter 212: loss 2.6797, time 323.47ms, mfu 0.05%
iter 213: loss 2.6628, time 305.73ms, mfu 0.05%
iter 214: loss 2.7886, time 363.47ms, mfu 0.05%
iter 215: loss 2.6649, time 348.29ms, mfu 0.05%
iter 216: loss 2.6384, time 327.63ms, mfu 0.05%
iter 217: loss 2.6375, time 361.29ms, mfu 0.05%
iter 218: loss 2.6706, time 333.91ms, mfu 0.05%
iter 219: loss 2.6234, time 340.92ms, mfu 0.05%
iter 220: loss 2.7029, time 340.27ms, mfu 0.05%
iter 221: loss 2.7249, time 369.33ms, mfu 0.05%
iter 222: loss 2.7020, time 334.71ms, mfu 0.05%
iter 223: loss 2.7274, time 370.84ms, mfu 0.05%
iter 224: loss 2.6877, time 388.44ms, mfu 0.05%
iter 225: loss 2.6783, time 350.54ms, mfu 0.05%
iter 226: loss 2.6345, time 345.42ms, mfu 0.05%
iter 227: loss 2.7583, time 351.82ms, mfu 0.05%
iter 228: loss 2.6833, time 333.86ms, mfu 0.05%
iter 229: loss 2.6708, time 377.26ms, mfu 0.05%
iter 230: loss 2.6553, time 352.66ms, mfu 0.05%
iter 231: loss 2.6936, time 354.35ms, mfu 0.05%
iter 232: loss 2.6966, time 333.61ms, mfu 0.05%
iter 233: loss 2.7757, time 314.41ms, mfu 0.05%
iter 234: loss 2.6586, time 392.80ms, mfu 0.05%
iter 235: loss 2.6760, time 332.17ms, mfu 0.05%
iter 236: loss 2.6340, time 341.78ms, mfu 0.05%
iter 237: loss 2.7840, time 328.13ms, mfu 0.05%
iter 238: loss 2.7314, time 374.72ms, mfu 0.05%
iter 239: loss 2.7912, time 324.38ms, mfu 0.05%
iter 240: loss 2.6900, time 334.45ms, mfu 0.05%
iter 241: loss 2.7229, time 400.81ms, mfu 0.05%
iter 242: loss 2.6540, time 356.94ms, mfu 0.05%
iter 243: loss 2.7195, time 350.45ms, mfu 0.05%
iter 244: loss 2.6879, time 360.08ms, mfu 0.05%
iter 245: loss 2.7293, time 325.29ms, mfu 0.05%
iter 246: loss 2.6634, time 331.70ms, mfu 0.05%
iter 247: loss 2.7187, time 383.74ms, mfu 0.05%
iter 248: loss 2.7159, time 370.92ms, mfu 0.05%
iter 249: loss 2.6726, time 304.08ms, mfu 0.05%
step 250: train loss 2.7296, val loss 2.7513
saving checkpoint to out-shakespeare-char
iter 250: loss 2.6897, time 4834.85ms, mfu 0.04%
iter 251: loss 2.7065, time 309.84ms, mfu 0.04%
iter 252: loss 2.7619, time 373.07ms, mfu 0.04%
iter 253: loss 2.7487, time 358.80ms, mfu 0.04%
iter 254: loss 2.6024, time 350.47ms, mfu 0.04%
iter 255: loss 2.7007, time 322.70ms, mfu 0.04%
iter 256: loss 2.6343, time 317.28ms, mfu 0.05%
iter 257: loss 2.7567, time 345.41ms, mfu 0.05%
iter 258: loss 2.6303, time 330.63ms, mfu 0.05%
iter 259: loss 2.7531, time 334.52ms, mfu 0.05%
iter 260: loss 2.7194, time 371.19ms, mfu 0.05%
iter 261: loss 2.6537, time 345.44ms, mfu 0.05%
iter 262: loss 2.6307, time 358.98ms, mfu 0.05%
iter 263: loss 2.7330, time 355.91ms, mfu 0.05%
iter 264: loss 2.6888, time 365.04ms, mfu 0.05%
iter 265: loss 2.7483, time 412.90ms, mfu 0.04%
iter 266: loss 2.6558, time 373.84ms, mfu 0.04%
iter 267: loss 2.6871, time 351.19ms, mfu 0.04%
iter 268: loss 2.7173, time 376.37ms, mfu 0.04%
iter 269: loss 2.6525, time 332.25ms, mfu 0.05%
iter 270: loss 2.6199, time 317.90ms, mfu 0.05%
iter 271: loss 2.7587, time 346.02ms, mfu 0.05%
iter 272: loss 2.7402, time 345.95ms, mfu 0.05%
iter 273: loss 2.6380, time 332.27ms, mfu 0.05%
iter 274: loss 2.7023, time 366.89ms, mfu 0.05%
iter 275: loss 2.6994, time 336.77ms, mfu 0.05%
iter 276: loss 2.6994, time 345.91ms, mfu 0.05%
iter 277: loss 2.7084, time 372.66ms, mfu 0.05%
