Overriding config with config/train_shakespeare_char.py:
# train a miniature character-level shakespeare model
# good for debugging and playing on macbooks and such

out_dir = 'out-shakespeare-char'
eval_interval = 250 # keep frequent because we'll overfit
eval_iters = 200
log_interval = 10 # don't print too too often

# we expect to overfit on this small dataset, so only save when val improves
always_save_checkpoint = False

wandb_log = False # override via command line if you like
wandb_project = 'shakespeare-char'
wandb_run_name = 'mini-gpt'

dataset = 'shakespeare_char'
gradient_accumulation_steps = 1
batch_size = 64
block_size = 256 # context of up to 256 previous characters

# baby GPT model :)
n_layer = 6
n_head = 6
n_embd = 384
dropout = 0.2

learning_rate = 1e-3 # with baby networks can afford to go a bit higher
max_iters = 5000
lr_decay_iters = 5000 # make equal to max_iters usually
min_lr = 1e-4 # learning_rate / 10 usually
beta2 = 0.99 # make a bit bigger because number of tokens per iter is small

warmup_iters = 100 # not super necessary potentially

# on macbook also add
# device = 'cpu'  # run on cpu only
# compile = False # do not torch compile the model

Overriding: device = cpu
Overriding: compile = False
Overriding: eval_iters = 20
Overriding: log_interval = 1
Overriding: block_size = 64
Overriding: batch_size = 12
Overriding: dropout = 0.0
Overriding: optimizer = adamw
Overriding: max_iters = 20000
Overriding: lr_decay_iters = 20000
tokens per iteration will be: 768
found vocab_size = 65 (inside data/shakespeare_char/meta.pkl)
Initializing a new model from scratch
number of parameters: 10.65M
num decayed parameter tensors: 26, with 10,666,368 parameters
num non-decayed parameter tensors: 13, with 4,992 parameters
using fused AdamW: False
iter 81: loss 2.5427, time 390.55ms, mfu 0.05%
iter 82: loss 2.5707, time 380.94ms, mfu 0.05%
iter 83: loss 2.5518, time 339.48ms, mfu 0.05%
iter 84: loss 2.4572, time 343.01ms, mfu 0.05%
iter 85: loss 2.5916, time 359.56ms, mfu 0.05%
iter 86: loss 2.5274, time 326.66ms, mfu 0.05%
iter 87: loss 2.4961, time 352.43ms, mfu 0.05%
iter 88: loss 2.5505, time 364.81ms, mfu 0.05%
iter 89: loss 2.6277, time 337.95ms, mfu 0.05%
iter 90: loss 2.5744, time 345.81ms, mfu 0.05%
iter 91: loss 2.5862, time 335.78ms, mfu 0.05%
iter 92: loss 2.5068, time 284.67ms, mfu 0.05%
iter 93: loss 2.6092, time 381.73ms, mfu 0.05%
iter 94: loss 2.5068, time 351.15ms, mfu 0.05%
iter 95: loss 2.5545, time 324.36ms, mfu 0.05%
iter 96: loss 2.5890, time 378.31ms, mfu 0.05%
iter 97: loss 2.5174, time 351.66ms, mfu 0.05%
iter 98: loss 2.5494, time 289.25ms, mfu 0.05%
iter 99: loss 2.5164, time 368.33ms, mfu 0.05%
iter 100: loss 2.5001, time 325.66ms, mfu 0.05%
iter 101: loss 2.5635, time 346.71ms, mfu 0.05%
iter 102: loss 2.4811, time 378.84ms, mfu 0.05%
iter 103: loss 2.6697, time 313.25ms, mfu 0.05%
iter 104: loss 2.5998, time 403.34ms, mfu 0.05%
iter 105: loss 2.5522, time 326.00ms, mfu 0.05%
iter 106: loss 2.3732, time 345.74ms, mfu 0.05%
iter 107: loss 2.5451, time 344.59ms, mfu 0.05%
iter 108: loss 2.5621, time 343.84ms, mfu 0.05%
iter 109: loss 2.6630, time 380.00ms, mfu 0.05%
iter 110: loss 2.4988, time 394.39ms, mfu 0.05%
iter 111: loss 2.4846, time 349.42ms, mfu 0.05%
iter 112: loss 2.4902, time 363.96ms, mfu 0.05%
iter 113: loss 2.5166, time 308.67ms, mfu 0.05%
iter 114: loss 2.5760, time 322.62ms, mfu 0.05%
iter 115: loss 2.4523, time 330.73ms, mfu 0.05%
iter 116: loss 2.5415, time 391.75ms, mfu 0.05%
iter 117: loss 2.5288, time 306.15ms, mfu 0.05%
iter 118: loss 2.5176, time 321.49ms, mfu 0.05%
iter 119: loss 2.5429, time 361.77ms, mfu 0.05%
iter 120: loss 2.4239, time 368.07ms, mfu 0.05%
iter 121: loss 2.5388, time 354.40ms, mfu 0.05%
iter 122: loss 2.4674, time 379.84ms, mfu 0.05%
iter 123: loss 2.5206, time 377.13ms, mfu 0.05%
iter 124: loss 2.5070, time 355.82ms, mfu 0.05%
iter 125: loss 2.5019, time 269.87ms, mfu 0.05%
iter 126: loss 2.4213, time 313.66ms, mfu 0.05%
iter 127: loss 2.4255, time 376.56ms, mfu 0.05%
iter 128: loss 2.5111, time 348.83ms, mfu 0.05%
iter 129: loss 2.4942, time 351.56ms, mfu 0.05%
iter 130: loss 2.4302, time 369.33ms, mfu 0.05%
iter 131: loss 2.5079, time 347.39ms, mfu 0.05%
iter 132: loss 2.4490, time 325.08ms, mfu 0.05%
